PostcodeDistrict,EstimatedDogPopulation,dog_level
WR5,,
WR6,,
WR7,,
WR8,,
WR9,,
WS1,,
WS10,,
WS11,,
WS12,,
WS13,,
WS14,,
WS15,,
WS2,,
WS3,,
WS4,,
WS5,,
WS6,,
WS7,,
WS8,,
WS9,,
WV1,,
WV10,,
WV11,,
WV12,,
WV13,,
WV14,,
WV15,,
WV16,,
WV2,,
WV3,,
WV4,,
WV5,,
WV6,,
WV7,744.7383947,🐶🐶🐶🐶 Supreme
WV8,,
WV9,508.8387153,🐶🐶🐶 High
SW95,0.0,🐶 Low
WA55,0.0,🐶 Low
WA88,0.0,🐶 Low
WD99,0.0,🐶 Low
WF90,0.0,🐶 Low
WR99,0.0,🐶 Low
